"Anno","Mese","Cantone","Pernottamenti"
"2005","Gennaio","Schweiz",2680116
"2005","Gennaio","Zürich",240316
"2005","Gennaio","Bern / Berne",373916
"2005","Gennaio","Luzern",57630
"2005","Gennaio","Uri",12979
"2005","Gennaio","Schwyz",32230
"2005","Gennaio","Obwalden",47668
"2005","Gennaio","Nidwalden",10571
"2005","Gennaio","Glarus",13640
"2005","Gennaio","Zug",16310
"2005","Gennaio","Fribourg / Freiburg",15871
"2005","Gennaio","Solothurn",19230
"2005","Gennaio","Basel-Stadt",52489
"2005","Gennaio","Basel-Landschaft",13616
"2005","Gennaio","Schaffhausen",4303
"2005","Gennaio","Appenzell Ausserrhoden",10316
"2005","Gennaio","Appenzell Innerrhoden",6471
"2005","Gennaio","St. Gallen",80937
"2005","Gennaio","Graubünden / Grigioni / Grischun",769258
"2005","Gennaio","Aargau",39892
"2005","Gennaio","Thurgau",19513
"2005","Gennaio","Ticino",51102
"2005","Gennaio","Vaud",160541
"2005","Gennaio","Valais / Wallis",479899
"2005","Gennaio","Neuchâtel",10686
"2005","Gennaio","Genève",137974
"2005","Gennaio","Jura",2758
"2005","Febbraio","Schweiz",3017746
"2005","Febbraio","Zürich",226187
"2005","Febbraio","Bern / Berne",440178
"2005","Febbraio","Luzern",60606
"2005","Febbraio","Uri",17507
"2005","Febbraio","Schwyz",39916
"2005","Febbraio","Obwalden",57213
"2005","Febbraio","Nidwalden",13195
"2005","Febbraio","Glarus",17504
"2005","Febbraio","Zug",16100
"2005","Febbraio","Fribourg / Freiburg",18601
"2005","Febbraio","Solothurn",16347
"2005","Febbraio","Basel-Stadt",55848
"2005","Febbraio","Basel-Landschaft",13988
"2005","Febbraio","Schaffhausen",4881
"2005","Febbraio","Appenzell Ausserrhoden",10838
"2005","Febbraio","Appenzell Innerrhoden",4596
"2005","Febbraio","St. Gallen",91166
"2005","Febbraio","Graubünden / Grigioni / Grischun",833786
"2005","Febbraio","Aargau",41529
"2005","Febbraio","Thurgau",18701
"2005","Febbraio","Ticino",58849
"2005","Febbraio","Vaud",195174
"2005","Febbraio","Valais / Wallis",576546
"2005","Febbraio","Neuchâtel",11693
"2005","Febbraio","Genève",173680
"2005","Febbraio","Jura",3117
"2005","Marzo","Schweiz",3238735
"2005","Marzo","Zürich",271716
